,time,dist,jdif_Mg2,jdif_H,jdif_Cl,jact_Mg2,jact_H,jact_Cl,jmig_Mg2,jmig_H,jmig_Cl,jtot_Mg2,jtot_H,jtot_Cl
1523,43200,0.0815,1.0931759999999995e-09,2.949650000000003e-08,1.2454610000000008e-08,-1.8186446250885552e-12,,-8.024534100435771e-12,-1.3069280642463306e-10,-1.3972621124179266e-08,3.296695170124442e-09,9.606645489502779e-10,,1.5743280636024014e-08
1524,43200,0.0825,6.652170000000002e-10,3.1105399999999955e-08,1.0329669999999993e-08,-8.680588034003285e-13,,-6.028670891005554e-12,-9.351422089097361e-11,-1.6288758636075888e-08,3.6738703278736196e-09,5.708347203056263e-10,,1.3997511656982607e-08
1525,43200,0.0835,3.8489849999999997e-10,3.1053500000000054e-08,8.70972e-09,-4.0346664327438834e-13,,-4.4469851300359695e-12,-5.933217610197028e-11,-1.726434510260036e-08,3.779191314814692e-09,3.251628572547553e-10,,1.2484464329684657e-08
1526,43200,0.0845,2.1307229999999998e-10,2.979059999999999e-08,7.459009999999999e-09,-1.8581705308606072e-13,,-3.4841089120436943e-12,-3.460704359094617e-11,-1.7218879386923957e-08,3.6980734230552302e-09,1.7827943935596774e-10,,1.1153599314143185e-08
1527,43200,0.0855,1.135071e-10,2.7775149999999987e-08,6.465319999999997e-09,-8.44990461413508e-14,,-2.7634410127643977e-12,-1.8939410283573844e-11,-1.6466981296767967e-08,3.4952348082700434e-09,9.448319067028479e-11,,9.957791367257277e-09
1528,43200,0.0865,5.848416e-11,2.5405049999999988e-08,5.650819999999999e-09,-3.829296043652982e-14,,-2.1703965203914146e-12,-9.871911373343262e-12,-1.5304165862577493e-08,3.22565415125776e-09,4.8573955666220205e-11,,8.874303754737368e-09
1529,43200,0.0875,2.926854e-11,2.2922499999999996e-08,4.964830000000004e-09,-1.707643143715755e-14,,-1.7792203252707077e-12,-4.947190094018134e-12,-1.3938521015628646e-08,2.9254819979731287e-09,2.4304273474544707e-11,,7.888532777647861e-09
1530,43200,0.0885,1.426572e-11,2.0474550000000022e-08,4.367529999999997e-09,-7.520092965780604e-15,,-1.408851435166768e-12,-2.4012074437762314e-12,-1.2521257070038067e-08,2.621272202838838e-09,1.1856992463257988e-11,,6.987393351403668e-09
1531,43200,0.0895,6.786485999999998e-12,1.816499999999999e-08,3.837200000000003e-09,-3.229734340639268e-15,,-1.1747067287671696e-12,-1.1336379606316737e-12,-1.1133946737813932e-08,2.3274265740411875e-09,5.649618305027685e-12,,6.163451867312423e-09
1532,43200,0.0905,3.155103e-12,1.6002499999999994e-08,3.3684099999999962e-09,-1.3756886821249778e-15,,-9.446757635044608e-13,-5.221273688460189e-13,-9.825254393941217e-09,2.051481848145934e-09,2.631599942471856e-12,,5.418947172382426e-09
1533,43200,0.0915,1.4349509999999998e-12,1.403721999999999e-08,2.9457750000000006e-09,-5.678079274266347e-16,,-7.538463387029915e-13,-2.350172952517187e-13,-8.615331752998378e-09,1.7972962026404331e-09,1.1993658968208545e-12,,4.7423173563017305e-09
1534,43200,0.0925,6.388137e-13,1.2250130000000009e-08,2.567304e-09,-2.309957484336685e-16,,-6.186065068812962e-13,-1.0352149719807857e-13,-7.51416820592037e-09,1.5663143594956381e-09,5.350612070534878e-13,,4.132999752988757e-09
1535,43200,0.0935,2.785482000000001e-13,1.0642960000000004e-08,2.2290149999999982e-09,-9.186069138206998e-17,,-4.86381277311846e-13,-4.4652908823436866e-14,-6.521585629004116e-09,1.3582552093455843e-09,2.3380343048518114e-13,,3.5867838280682704e-09
1536,43200,0.0945,1.1900069999999997e-13,9.206194999999997e-09,1.9272880000000005e-09,-3.570511610120793e-17,,-3.9450871114507903e-13,-1.886944553607258e-14,-5.63370489409941e-09,1.1722199386338772e-09,1.0009554934782618e-13,,3.0991134299227325e-09
