        time	        dist	           H	         Mg2	          Cl	      gammaH	    gammaMg2	     gammaCl	   potential	     current	
        3600	  1.7500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  1.4585e-11	  0.0000e+00	
        3600	  1.8500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  3.9186e-11	  0.0000e+00	
        3600	  1.9500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  1.0373e-10	  0.0000e+00	
        3600	  2.0500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  2.7250e-10	  0.0000e+00	
        3600	  2.1500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  7.1027e-10	  0.0000e+00	
        3600	  2.2500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  1.8194e-09	  0.0000e+00	
        3600	  2.3500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  4.4049e-09	  0.0000e+00	
        3600	  2.4500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  8.7531e-09	  0.0000e+00	
        3600	  2.5500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  1.6131e-08	  0.0000e+00	
        3600	  2.6500e-02	  9.9999e-02	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  2.8174e-08	  0.0000e+00	
        3600	  2.7500e-02	  9.9998e-02	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  4.7726e-08	  0.0000e+00	
        3600	  2.8500e-02	  9.9997e-02	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  7.9321e-08	  0.0000e+00	
        3600	  2.9500e-02	  9.9996e-02	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  1.3004e-07	  0.0000e+00	
        3600	  3.0500e-02	  9.9993e-02	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  2.1079e-07	  0.0000e+00	
        3600	  3.1500e-02	  9.9988e-02	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  3.3825e-07	  0.0000e+00	
        3600	  3.2500e-02	  9.9981e-02	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  5.3755e-07	  0.0000e+00	
        3600	  3.3500e-02	  9.9970e-02	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  8.4618e-07	  0.0000e+00	
        3600	  3.4500e-02	  9.9953e-02	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  1.3193e-06	  0.0000e+00	
        3600	  3.5500e-02	  9.9928e-02	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4112e-01	  2.0371e-06	  0.0000e+00	
        3600	  3.6500e-02	  9.9889e-02	  1.0000e+00	  2.0999e+00	  9.4583e-01	  7.9114e-01	  9.4112e-01	  3.1143e-06	  0.0000e+00	
        3600	  3.7500e-02	  9.9832e-02	  1.0000e+00	  2.0999e+00	  9.4583e-01	  7.9115e-01	  9.4112e-01	  4.7129e-06	  0.0000e+00	
        3600	  3.8500e-02	  9.9747e-02	  1.0000e+00	  2.0998e+00	  9.4583e-01	  7.9115e-01	  9.4112e-01	  7.0578e-06	  0.0000e+00	
